,t,label,d,f
0,t0,n0,7,0.14748570994777488
1,t0,n1,16,0.2045010430463483
2,t1,n2,508,0.7750649289973917
3,t2,n3,736,0.8503766175981855
4,t3,n4,10,0.2176803420452471
5,t4,n5,10,0.20429609897687107
6,t5,n6,3,0.06022460617835257
7,t6,n7,599,0.9198567841489782
8,t7,n8,185,0.8493322764321454
9,t8,n9,257,0.8572753899551256
10,t9,n10,11,0.19916079102159268
11,t10,n11,43,0.4527668487489015
12,t11,n12,11,0.35999381178153844
13,t12,n13,77,0.8467351115098671
14,t13,n14,10,0.34355310942474915
15,t14,n15,194,0.7949835445032685
16,t15,n16,72,0.6961733039402422
17,t16,n17,8,0.16585533913356088
18,t17,n18,158,0.9473477883261822
19,t18,n19,4,0.219183612380898
20,t19,n20,245,0.9418885116866401
21,t20,n21,7,0.4292335061220295
22,t21,n22,2,0.012317781332731648
23,t22,n23,14,0.5150790404271527
24,t23,n24,3,0.010335981394061666
25,t24,n25,18,0.29795485416914735
26,t25,n26,24,0.4388939066520635
27,t26,n27,183,0.9044791535743315
28,t27,n28,2,0.01285971405429609
29,t28,n29,131,0.7914128022598445
30,t29,n30,48,0.6414829180272121
31,t30,n31,34,0.6432843042276597
32,t31,n32,2,0.060995697131476345
33,t32,n33,2,0.02464229534561324
34,t33,n34,47,0.8061307530477073
35,t34,n35,258,0.9739963553613017
36,t35,n36,25,0.4093613409591036
37,t36,n37,3,0.013077126264841143
38,t37,n38,22,0.346679612577
39,t38,n39,204,0.9640293030163587
40,t39,n40,3,0.5195925376872784
41,t40,n41,52,0.5639305793167777
42,t41,n42,12,0.2854308797607974
43,t42,n43,72,0.8992346383120262
44,t43,n44,3,0.0546003664100706
45,t44,n45,3,0.03502545641528043
46,t45,n46,196,0.8489855997953544
47,t46,n47,38,0.713622649520577
48,t47,n48,60,0.7520037035239763
49,t48,n49,2,0.3323441702864377
50,t49,n50,8,0.4873286329844083
51,t50,n51,95,0.8812753126711748
52,t51,n52,10,0.8145370003634493
53,t52,n53,2,0.1405024704069625
54,t53,n54,40,0.9117856228671641
55,t54,n55,2,0.01071213509239366
56,t55,n56,5,0.15013058156086012
57,t56,n57,171,0.9842851558799076
58,t57,n58,12,0.3442910449485693
59,t58,n59,80,0.9147517576185596
60,t59,n60,17,0.6200640686847185
61,t60,n61,17,0.4305123468022183
62,t61,n62,25,0.5664940874305644
63,t62,n63,7,0.5392320503678035
64,t63,n64,12,0.4378145170631673
65,t64,n65,5,0.26073134642035034
66,t65,n66,2,0.11601911689981248
67,t66,n67,2,0.04744031671499316
68,t67,n68,4,0.16449213350225667
69,t68,n69,71,0.6308438073705349
70,t69,n70,13,0.8024643782757918
71,t70,n71,37,0.8292942809687343
72,t71,n72,15,0.43337027207118983
73,t72,n73,12,0.668765828247386
74,t73,n74,76,0.7729896120806145
75,t74,n75,8,0.34046394366757926
76,t75,n76,3,0.08805917585785061
77,t76,n77,10,0.41428720167522537
78,t77,n78,28,0.6133584094274461
79,t78,n79,24,0.636261596869011
80,t79,n80,20,0.5366063617381904
