,t,n_start,n_end,weight,active
0,t0,n0,n1,0,1
1,t1,n1,n2,0,1
2,t1,n0,n2,0,1
3,t2,n1,n3,0,1
4,t2,n0,n3,0,1
5,t3,n0,n4,0,1
6,t3,n1,n4,0,1
7,t4,n1,n5,0,1
8,t4,n0,n5,0,1
9,t5,n1,n6,0,1
10,t5,n5,n6,0,1
11,t6,n1,n7,0,1
12,t6,n2,n7,0,1
13,t7,n3,n8,0,1
14,t7,n1,n8,0,1
15,t8,n0,n9,0,1
16,t8,n1,n9,0,1
17,t9,n1,n10,0,1
18,t9,n7,n10,0,1
19,t10,n7,n11,0,1
20,t10,n0,n11,0,1
21,t11,n7,n12,0,1
22,t11,n1,n12,0,1
23,t12,n7,n13,0,1
24,t12,n0,n13,0,1
25,t13,n1,n14,0,1
26,t13,n7,n14,0,1
27,t14,n1,n15,0,1
28,t14,n14,n15,0,1
29,t15,n5,n16,0,1
30,t15,n7,n16,0,1
31,t16,n8,n17,0,1
32,t16,n12,n17,0,1
33,t17,n7,n18,0,1
34,t17,n2,n18,0,1
35,t18,n1,n19,0,1
36,t18,n7,n19,0,1
37,t19,n1,n20,0,1
38,t19,n7,n20,0,1
39,t20,n1,n21,0,1
40,t20,n0,n21,0,1
41,t21,n2,n22,0,1
42,t21,n1,n22,0,1
43,t22,n1,n23,0,1
44,t22,n0,n23,0,1
45,t23,n16,n24,0,1
46,t23,n8,n24,0,1
47,t24,n7,n25,0,1
48,t24,n1,n25,0,1
49,t25,n8,n26,0,1
50,t25,n20,n26,0,1
51,t26,n0,n27,0,1
52,t26,n23,n27,0,1
53,t27,n0,n28,0,1
54,t27,n20,n28,0,1
55,t28,n28,n29,0,1
56,t28,n5,n29,0,1
57,t29,n2,n30,0,1
58,t29,n7,n30,0,1
59,t30,n0,n31,0,1
60,t30,n25,n31,0,1
61,t31,n0,n32,0,1
62,t31,n2,n32,0,1
63,t32,n1,n33,0,1
64,t32,n28,n33,0,1
65,t33,n1,n34,0,1
66,t33,n5,n34,0,1
67,t34,n8,n35,0,1
68,t34,n25,n35,0,1
69,t35,n25,n36,0,1
70,t35,n29,n36,0,1
71,t36,n5,n37,0,1
72,t36,n0,n37,0,1
73,t37,n37,n38,0,1
74,t37,n7,n38,0,1
75,t38,n22,n39,0,1
76,t38,n0,n39,0,1
77,t39,n7,n40,0,1
78,t39,n25,n40,0,1
79,t40,n7,n41,0,1
80,t40,n0,n41,0,1
81,t41,n7,n42,0,1
82,t41,n8,n42,0,1
83,t42,n5,n43,0,1
84,t42,n7,n43,0,1
85,t43,n37,n44,0,1
86,t43,n5,n44,0,1
87,t44,n0,n45,0,1
88,t44,n5,n45,0,1
89,t45,n7,n46,0,1
90,t45,n13,n46,0,1
91,t46,n42,n47,0,1
92,t46,n0,n47,0,1
93,t47,n0,n48,0,1
94,t47,n37,n48,0,1
95,t48,n37,n49,0,1
96,t48,n29,n49,0,1
97,t49,n7,n50,0,1
98,t49,n0,n50,0,1
99,t50,n1,n51,0,1
100,t50,n20,n51,0,1
101,t51,n8,n52,0,1
102,t51,n7,n52,0,1
103,t52,n44,n53,0,1
104,t52,n1,n53,0,1
105,t53,n25,n54,0,1
106,t53,n27,n54,0,1
107,t54,n0,n55,0,1
108,t54,n16,n55,0,1
109,t55,n36,n56,0,1
110,t55,n1,n56,0,1
111,t56,n1,n57,0,1
112,t56,n25,n57,0,1
113,t57,n1,n58,0,1
114,t57,n23,n58,0,1
115,t58,n7,n59,0,1
116,t58,n37,n59,0,1
117,t59,n1,n60,0,1
118,t59,n31,n60,0,1
119,t60,n0,n61,0,1
120,t60,n8,n61,0,1
121,t61,n20,n62,0,1
122,t61,n7,n62,0,1
123,t62,n8,n63,0,1
124,t62,n1,n63,0,1
125,t63,n0,n64,0,1
126,t63,n41,n64,0,1
127,t64,n39,n65,0,1
128,t64,n29,n65,0,1
129,t65,n7,n66,0,1
130,t65,n28,n66,0,1
131,t66,n0,n67,0,1
132,t66,n66,n67,0,1
133,t67,n0,n68,0,1
134,t67,n3,n68,0,1
135,t68,n0,n69,0,1
136,t68,n62,n69,0,1
137,t69,n7,n70,0,1
138,t69,n1,n70,0,1
139,t70,n68,n71,0,1
140,t70,n12,n71,0,1
141,t71,n37,n72,0,1
142,t71,n17,n72,0,1
143,t72,n20,n73,0,1
144,t72,n7,n73,0,1
145,t73,n48,n74,0,1
146,t73,n8,n74,0,1
147,t74,n37,n75,0,1
148,t74,n0,n75,0,1
149,t75,n7,n76,0,1
150,t75,n0,n76,0,1
151,t76,n0,n77,0,1
152,t76,n66,n77,0,1
153,t77,n5,n78,0,1
154,t77,n28,n78,0,1
155,t78,n28,n79,0,1
156,t78,n8,n79,0,1
157,t79,n66,n80,0,1
158,t79,n17,n80,0,1
159,t80,n57,n81,0,1
160,t80,n8,n81,0,1
161,t81,n28,n82,0,1
162,t81,n13,n82,0,1
163,t82,n58,n83,0,1
164,t82,n0,n83,0,1
165,t83,n0,n84,0,1
166,t83,n31,n84,0,1
167,t84,n47,n85,0,1
168,t84,n7,n85,0,1
169,t85,n7,n86,0,1
170,t85,n1,n86,0,1
171,t86,n0,n87,0,1
172,t86,n7,n87,0,1
173,t87,n16,n88,0,1
174,t87,n1,n88,0,1
175,t88,n22,n89,0,1
176,t88,n88,n89,0,1
177,t89,n8,n90,0,1
178,t89,n5,n90,0,1
179,t90,n28,n91,0,1
180,t90,n5,n91,0,1
181,t91,n0,n92,0,1
182,t91,n66,n92,0,1
183,t92,n8,n93,0,1
184,t92,n0,n93,0,1
185,t93,n0,n94,0,1
186,t93,n31,n94,0,1
187,t94,n91,n95,0,1
188,t94,n9,n95,0,1
189,t95,n32,n96,0,1
190,t95,n0,n96,0,1
191,t96,n66,n97,0,1
192,t96,n0,n97,0,1
193,t97,n8,n98,0,1
194,t97,n0,n98,0,1
195,t98,n8,n99,0,1
196,t98,n29,n99,0,1
197,t99,n99,n100,0,1
198,t99,n25,n100,0,1
199,t100,n22,n101,0,1
200,t100,n5,n101,0,1
201,t101,n8,n102,0,1
202,t101,n82,n102,0,1
203,t102,n62,n103,0,1
204,t102,n66,n103,0,1
205,t103,n8,n104,0,1
206,t103,n101,n104,0,1
207,t104,n7,n105,0,1
208,t104,n0,n105,0,1
209,t105,n32,n106,0,1
210,t105,n7,n106,0,1
211,t106,n8,n107,0,1
212,t106,n7,n107,0,1
213,t107,n0,n108,0,1
214,t107,n1,n108,0,1
215,t108,n0,n109,0,1
216,t108,n54,n109,0,1
217,t109,n8,n110,0,1
218,t109,n5,n110,0,1
219,t110,n22,n111,0,1
220,t110,n66,n111,0,1
221,t111,n111,n112,0,1
222,t111,n29,n112,0,1
223,t112,n37,n113,0,1
224,t112,n68,n113,0,1
225,t113,n7,n114,0,1
226,t113,n16,n114,0,1
227,t114,n0,n115,0,1
228,t114,n12,n115,0,1
229,t115,n16,n116,0,1
230,t115,n1,n116,0,1
231,t116,n7,n117,0,1
232,t116,n40,n117,0,1
233,t117,n116,n118,0,1
234,t117,n1,n118,0,1
235,t118,n0,n119,0,1
236,t118,n68,n119,0,1
237,t119,n5,n120,0,1
238,t119,n0,n120,0,1
239,t120,n25,n121,0,1
240,t120,n1,n121,0,1
241,t121,n0,n122,0,1
242,t121,n7,n122,0,1
243,t122,n7,n123,0,1
244,t122,n0,n123,0,1
245,t123,n82,n124,0,1
246,t123,n1,n124,0,1
247,t124,n41,n125,0,1
248,t124,n7,n125,0,1
249,t125,n1,n126,0,1
250,t125,n5,n126,0,1
251,t126,n1,n127,0,1
252,t126,n58,n127,0,1
253,t127,n1,n128,0,1
254,t127,n45,n128,0,1
255,t128,n48,n129,0,1
256,t128,n7,n129,0,1
257,t129,n72,n130,0,1
258,t129,n5,n130,0,1
259,t130,n22,n131,0,1
260,t130,n0,n131,0,1
261,t131,n109,n132,0,1
262,t131,n116,n132,0,1
263,t132,n68,n133,0,1
264,t132,n8,n133,0,1
265,t133,n36,n134,0,1
266,t133,n5,n134,0,1
267,t134,n0,n135,0,1
268,t134,n25,n135,0,1
269,t135,n63,n136,0,1
270,t135,n17,n136,0,1
271,t136,n37,n137,0,1
272,t136,n1,n137,0,1
273,t137,n25,n138,0,1
274,t137,n1,n138,0,1
275,t138,n28,n139,0,1
276,t138,n7,n139,0,1
277,t139,n1,n140,0,1
278,t139,n122,n140,0,1
279,t140,n139,n141,0,1
280,t140,n16,n141,0,1
281,t141,n48,n142,0,1
282,t141,n0,n142,0,1
283,t142,n0,n143,0,1
284,t142,n101,n143,0,1
285,t143,n40,n144,0,1
286,t143,n2,n144,0,1
287,t144,n41,n145,0,1
288,t144,n94,n145,0,1
289,t145,n9,n146,0,1
290,t145,n1,n146,0,1
291,t146,n119,n147,0,1
292,t146,n0,n147,0,1
293,t147,n41,n148,0,1
294,t147,n122,n148,0,1
295,t148,n1,n149,0,1
296,t148,n119,n149,0,1
297,t149,n106,n150,0,1
298,t149,n94,n150,0,1
299,t150,n1,n151,0,1
300,t150,n25,n151,0,1
301,t151,n1,n152,0,1
302,t151,n5,n152,0,1
303,t152,n16,n153,0,1
304,t152,n150,n153,0,1
305,t153,n22,n154,0,1
306,t153,n68,n154,0,1
307,t154,n34,n155,0,1
308,t154,n132,n155,0,1
309,t155,n5,n156,0,1
310,t155,n0,n156,0,1
311,t156,n66,n157,0,1
312,t156,n116,n157,0,1
313,t157,n2,n158,0,1
314,t157,n1,n158,0,1
315,t158,n31,n159,0,1
316,t158,n8,n159,0,1
317,t159,n25,n160,0,1
318,t159,n7,n160,0,1
319,t160,n66,n161,0,1
320,t160,n44,n161,0,1
321,t161,n1,n162,0,1
322,t161,n91,n162,0,1
323,t162,n0,n163,0,1
324,t162,n16,n163,0,1
325,t163,n96,n164,0,1
326,t163,n29,n164,0,1
327,t164,n37,n165,0,1
328,t164,n7,n165,0,1
329,t165,n0,n166,0,1
330,t165,n101,n166,0,1
331,t166,n20,n167,0,1
332,t166,n94,n167,0,1
333,t167,n94,n168,0,1
334,t167,n29,n168,0,1
335,t168,n8,n169,0,1
336,t168,n119,n169,0,1
337,t169,n1,n170,0,1
338,t169,n0,n170,0,1
339,t170,n1,n171,0,1
340,t170,n132,n171,0,1
341,t171,n150,n172,0,1
342,t171,n7,n172,0,1
343,t172,n22,n173,0,1
344,t172,n1,n173,0,1
345,t173,n41,n174,0,1
346,t173,n1,n174,0,1
347,t174,n130,n175,0,1
348,t174,n97,n175,0,1
349,t175,n7,n176,0,1
350,t175,n1,n176,0,1
351,t176,n20,n177,0,1
352,t176,n22,n177,0,1
353,t177,n101,n178,0,1
354,t177,n27,n178,0,1
355,t178,n154,n179,0,1
356,t178,n0,n179,0,1
357,t179,n176,n180,0,1
358,t179,n1,n180,0,1
359,t180,n8,n181,0,1
360,t180,n13,n181,0,1
361,t181,n109,n182,0,1
362,t181,n0,n182,0,1
363,t182,n1,n183,0,1
364,t182,n39,n183,0,1
365,t183,n7,n184,0,1
366,t183,n128,n184,0,1
367,t184,n101,n185,0,1
368,t184,n16,n185,0,1
369,t185,n16,n186,0,1
370,t185,n8,n186,0,1
