,t,label,d,f
0,t0,n0,157,0.7995642392919162
1,t0,n1,193,0.9269328121449143
2,t1,n2,16,0.3065942504634376
3,t2,n3,5,0.37242731388595485
4,t3,n4,2,0.03784352095551913
5,t4,n5,49,0.6657814703126556
6,t5,n6,2,0.05078171158063027
7,t6,n7,96,0.7435324332848323
8,t7,n8,72,0.8931821852913774
9,t8,n9,12,0.6586259583386064
10,t9,n10,3,0.10776923573510888
11,t10,n11,2,0.1782756666395764
12,t11,n12,7,0.2392295984995555
13,t12,n13,10,0.6650278273890451
14,t13,n14,5,0.2587542426583396
15,t14,n15,3,0.4335434389837761
16,t15,n16,32,0.7033676419892647
17,t16,n17,13,0.6996148578527787
18,t17,n18,3,0.12115080987500326
19,t18,n19,6,0.5095939462314879
20,t19,n20,30,0.8737156732839684
21,t20,n21,2,0.19062027224876021
22,t21,n22,17,0.8351790339820871
23,t22,n23,8,0.445930870812125
24,t23,n24,3,0.0526712789989926
25,t24,n25,56,0.7444473260358929
26,t25,n26,2,0.01610107086963164
27,t26,n27,8,0.7518208205941941
28,t27,n28,12,0.7605133184125952
29,t28,n29,15,0.5360188667572922
30,t29,n30,2,0.21561773354655556
31,t30,n31,20,0.9812873063820203
32,t31,n32,4,0.5710646897641143
33,t32,n33,2,0.1312958691170416
34,t33,n34,3,0.20962129011750186
35,t34,n35,2,0.05260885713471963
36,t35,n36,11,0.38980074434658485
37,t36,n37,35,0.8091120140609992
38,t37,n38,3,0.19282338616713457
39,t38,n39,11,0.6996180040101101
40,t39,n40,11,0.8954509994660945
41,t40,n41,19,0.7428577825882015
42,t41,n42,5,0.5018997791271961
43,t42,n43,5,0.6846396072578582
44,t43,n44,7,0.25050102739774016
45,t44,n45,8,0.7291739838037985
46,t45,n46,3,0.2996991464409601
47,t46,n47,10,0.9091098194026376
48,t47,n48,19,0.7000231766061713
49,t48,n49,3,0.20149135885178626
50,t49,n50,3,0.8184328223875259
51,t50,n51,3,0.12404260123738409
52,t51,n52,2,0.44204587455593725
53,t52,n53,3,0.30897567518777613
54,t53,n54,5,0.48203059554353545
55,t54,n55,4,0.564839596023963
56,t55,n56,3,0.30430249495777295
57,t56,n57,9,0.7799583974450504
58,t57,n58,12,0.8833606493671425
59,t58,n59,2,0.30594619558602876
60,t59,n60,2,0.021706313785292308
61,t60,n61,2,0.3931372782912912
62,t61,n62,19,0.9678759780336976
63,t62,n63,3,0.039397055578925366
64,t63,n64,3,0.5840003586203214
65,t64,n65,2,0.18852420690951055
66,t65,n66,43,0.8005368103979282
67,t66,n67,2,0.4007087027645514
68,t67,n68,14,0.6456370593053014
69,t68,n69,2,0.004717446601459119
70,t69,n70,8,0.9207225437723237
71,t70,n71,5,0.6498806688591124
72,t71,n72,5,0.35086506520553384
73,t72,n73,2,0.4865419380517946
74,t73,n74,3,0.31740972314293414
75,t74,n75,5,0.6161338751628059
76,t75,n76,3,0.5476167320125251
77,t76,n77,2,0.0286469052655568
78,t77,n78,6,0.7306285419982596
79,t78,n79,3,0.4845462218749762
80,t79,n80,4,0.45831561531957776
81,t80,n81,3,0.32483374752601757
82,t81,n82,4,0.3840756200900709
83,t82,n83,4,0.5264738462392009
84,t83,n84,2,0.05631580391225255
85,t84,n85,2,0.015095399795942543
86,t85,n86,2,0.17857397985849666
87,t86,n87,3,0.6779711111422274
88,t87,n88,5,0.9226336536304359
89,t88,n89,2,0.21166637988351145
90,t89,n90,3,0.11115871280820822
91,t90,n91,9,0.5589179516762462
92,t91,n92,4,0.5182812628855238
93,t92,n93,3,0.19984248300644936
94,t93,n94,19,0.8811298780097986
95,t94,n95,2,0.42835282166503574
96,t95,n96,3,0.23552727413627694
97,t96,n97,3,0.24897471236381852
98,t97,n98,7,0.6042745855138376
99,t98,n99,5,0.3694850335165828
100,t99,n100,2,0.2490534195040769
101,t100,n101,266,3.0
102,t101,n102,8,0.9690681758064527
103,t102,n103,2,0.08132938588559635
104,t103,n104,9,0.5178839310321518
105,t104,n105,2,0.11617160153709549
106,t105,n106,5,0.38716500772803253
107,t106,n107,2,0.3173803659949509
108,t107,n108,2,0.03037314701603777
109,t108,n109,6,0.41781986152910666
110,t109,n110,5,0.6085760050771885
111,t110,n111,3,0.5024244755245948
112,t111,n112,4,0.4934357272606946
113,t112,n113,2,0.14077490059341957
114,t113,n114,3,0.25310380671957455
115,t114,n115,2,0.1484952443200076
116,t115,n116,11,0.4999021495394479
117,t116,n117,6,0.21763262229119018
118,t117,n118,2,0.8651703558135274
119,t118,n119,21,0.923303814142773
120,t119,n120,2,0.0011389380748025868
121,t120,n121,9,0.8332575739334097
122,t121,n122,7,0.9350898326030548
123,t122,n123,4,0.4998097608379988
124,t123,n124,9,0.9085092785821598
125,t124,n125,3,0.1887342027626716
126,t125,n126,2,0.024428722691432703
127,t126,n127,2,0.03596997725155138
128,t127,n128,5,0.21374609814896905
129,t128,n129,2,0.2697141191802732
130,t129,n130,6,0.3594999768043954
131,t130,n131,3,0.43861162365464423
132,t131,n132,12,0.8387505214063022
133,t132,n133,2,0.15698415833341062
134,t133,n134,2,0.656022539856325
135,t134,n135,3,0.24026431495925238
136,t135,n136,4,0.41705807546051044
137,t136,n137,2,0.757749456311677
138,t137,n138,2,0.12166634652309227
139,t138,n139,5,0.7944103482600124
140,t139,n140,2,0.1761559419261043
141,t140,n141,2,0.1261033521297784
142,t141,n142,4,0.5792052672197628
143,t142,n143,4,0.48425295037186455
144,t143,n144,3,0.19909708674269422
145,t144,n145,3,0.882271802960473
146,t145,n146,2,0.25830914569162267
147,t146,n147,4,0.08430102184365584
148,t147,n148,12,0.8316595271422333
149,t148,n149,2,0.4045001801955789
150,t149,n150,10,0.9808641698169585
151,t150,n151,2,0.08384922525317684
152,t151,n152,2,0.002945917063076231
153,t152,n153,2,0.06078145996658979
154,t153,n154,5,0.8106982773411247
155,t154,n155,2,0.30923749062720696
156,t155,n156,2,0.023072497521979818
157,t156,n157,3,0.013750914014247329
158,t157,n158,5,0.3365671646099373
159,t158,n159,2,0.29443157591765157
160,t159,n160,6,0.6916357116968382
161,t160,n161,4,0.53544564940161
162,t161,n162,2,0.4339648069084793
163,t162,n163,7,0.5087763014169921
164,t163,n164,3,0.4499402248884744
165,t164,n165,3,0.19239206619300175
166,t165,n166,2,0.5704625649476474
167,t166,n167,5,0.7898849172658655
168,t167,n168,4,0.8060394409230726
169,t168,n169,3,0.9923849525290903
170,t169,n170,7,0.4149796325290991
171,t170,n171,2,0.765263879303658
172,t171,n172,7,0.8387726059011025
173,t172,n173,2,0.3326645089090955
174,t173,n174,4,0.5011037472209323
175,t174,n175,5,0.5299295485637564
176,t175,n176,5,0.3645020815278538
177,t176,n177,2,0.47805667772135063
