,t,n_start,n_end,weight,active
0,t0,n0,n1,0,1
1,t1,n1,n2,0,1
2,t1,n0,n2,0,1
3,t2,n2,n3,0,1
4,t2,n0,n3,0,1
5,t3,n2,n4,0,1
6,t3,n3,n4,0,1
7,t4,n2,n5,0,1
8,t4,n3,n5,0,1
9,t5,n2,n6,0,1
10,t5,n5,n6,0,1
11,t6,n2,n7,0,1
12,t6,n6,n7,0,1
13,t7,n5,n8,0,1
14,t7,n6,n8,0,1
15,t8,n6,n9,0,1
16,t8,n7,n9,0,1
17,t9,n3,n10,0,1
18,t9,n4,n10,0,1
19,t10,n6,n11,0,1
20,t10,n2,n11,0,1
21,t11,n0,n12,0,1
22,t11,n5,n12,0,1
23,t12,n4,n13,0,1
24,t12,n2,n13,0,1
25,t13,n0,n14,0,1
26,t13,n2,n14,0,1
27,t14,n14,n15,0,1
28,t14,n5,n15,0,1
29,t15,n6,n16,0,1
30,t15,n2,n16,0,1
31,t16,n2,n17,0,1
32,t16,n3,n17,0,1
33,t17,n14,n18,0,1
34,t17,n3,n18,0,1
35,t18,n2,n19,0,1
36,t18,n12,n19,0,1
37,t19,n5,n20,0,1
38,t19,n2,n20,0,1
39,t20,n3,n21,0,1
40,t20,n2,n21,0,1
41,t21,n2,n22,0,1
42,t21,n15,n22,0,1
43,t22,n3,n23,0,1
44,t22,n7,n23,0,1
45,t23,n20,n24,0,1
46,t23,n2,n24,0,1
47,t24,n2,n25,0,1
48,t24,n6,n25,0,1
49,t25,n24,n26,0,1
50,t25,n0,n26,0,1
51,t26,n2,n27,0,1
52,t26,n6,n27,0,1
53,t27,n5,n28,0,1
54,t27,n24,n28,0,1
55,t28,n6,n29,0,1
56,t28,n3,n29,0,1
57,t29,n25,n30,0,1
58,t29,n12,n30,0,1
59,t30,n30,n31,0,1
60,t30,n3,n31,0,1
61,t31,n25,n32,0,1
62,t31,n13,n32,0,1
63,t32,n2,n33,0,1
64,t32,n3,n33,0,1
65,t33,n2,n34,0,1
66,t33,n9,n34,0,1
67,t34,n15,n35,0,1
68,t34,n2,n35,0,1
69,t35,n3,n36,0,1
70,t35,n16,n36,0,1
71,t36,n24,n37,0,1
72,t36,n4,n37,0,1
73,t37,n6,n38,0,1
74,t37,n13,n38,0,1
75,t38,n2,n39,0,1
76,t38,n6,n39,0,1
77,t39,n3,n40,0,1
78,t39,n25,n40,0,1
79,t40,n36,n41,0,1
80,t40,n39,n41,0,1
81,t41,n6,n42,0,1
82,t41,n2,n42,0,1
83,t42,n6,n43,0,1
84,t42,n36,n43,0,1
85,t43,n7,n44,0,1
86,t43,n3,n44,0,1
87,t44,n3,n45,0,1
88,t44,n28,n45,0,1
89,t45,n10,n46,0,1
90,t45,n3,n46,0,1
91,t46,n5,n47,0,1
92,t46,n14,n47,0,1
93,t47,n20,n48,0,1
94,t47,n5,n48,0,1
95,t48,n4,n49,0,1
96,t48,n19,n49,0,1
97,t49,n39,n50,0,1
98,t49,n2,n50,0,1
99,t50,n21,n51,0,1
100,t50,n37,n51,0,1
101,t51,n39,n52,0,1
102,t51,n24,n52,0,1
103,t52,n3,n53,0,1
104,t52,n6,n53,0,1
105,t53,n24,n54,0,1
106,t53,n2,n54,0,1
107,t54,n3,n55,0,1
108,t54,n6,n55,0,1
109,t55,n19,n56,0,1
110,t55,n2,n56,0,1
111,t56,n7,n57,0,1
112,t56,n56,n57,0,1
113,t57,n48,n58,0,1
114,t57,n39,n58,0,1
115,t58,n15,n59,0,1
116,t58,n2,n59,0,1
117,t59,n6,n60,0,1
118,t59,n19,n60,0,1
119,t60,n6,n61,0,1
120,t60,n39,n61,0,1
121,t61,n44,n62,0,1
122,t61,n5,n62,0,1
123,t62,n5,n63,0,1
124,t62,n37,n63,0,1
125,t63,n24,n64,0,1
126,t63,n7,n64,0,1
127,t64,n2,n65,0,1
128,t64,n6,n65,0,1
129,t65,n3,n66,0,1
130,t65,n2,n66,0,1
131,t66,n7,n67,0,1
132,t66,n19,n67,0,1
133,t67,n43,n68,0,1
134,t67,n2,n68,0,1
135,t68,n6,n69,0,1
136,t68,n19,n69,0,1
137,t69,n0,n70,0,1
138,t69,n25,n70,0,1
139,t70,n14,n71,0,1
140,t70,n60,n71,0,1
141,t71,n14,n72,0,1
142,t71,n2,n72,0,1
143,t72,n5,n73,0,1
144,t72,n34,n73,0,1
145,t73,n46,n74,0,1
146,t73,n39,n74,0,1
147,t74,n26,n75,0,1
148,t74,n27,n75,0,1
149,t75,n19,n76,0,1
150,t75,n5,n76,0,1
151,t76,n14,n77,0,1
152,t76,n3,n77,0,1
153,t77,n15,n78,0,1
154,t77,n2,n78,0,1
155,t78,n19,n79,0,1
156,t78,n7,n79,0,1
157,t79,n6,n80,0,1
158,t79,n0,n80,0,1
159,t80,n49,n81,0,1
160,t80,n2,n81,0,1
161,t81,n5,n82,0,1
162,t81,n35,n82,0,1
163,t82,n26,n83,0,1
164,t82,n6,n83,0,1
165,t83,n2,n84,0,1
166,t83,n6,n84,0,1
167,t84,n22,n85,0,1
168,t84,n2,n85,0,1
169,t85,n54,n86,0,1
170,t85,n5,n86,0,1
171,t86,n73,n87,0,1
172,t86,n2,n87,0,1
173,t87,n36,n88,0,1
174,t87,n84,n88,0,1
175,t88,n64,n89,0,1
176,t88,n76,n89,0,1
177,t89,n71,n90,0,1
178,t89,n6,n90,0,1
179,t90,n63,n91,0,1
180,t90,n5,n91,0,1
181,t91,n38,n92,0,1
182,t91,n7,n92,0,1
183,t92,n12,n93,0,1
184,t92,n3,n93,0,1
185,t93,n91,n94,0,1
186,t93,n24,n94,0,1
187,t94,n2,n95,0,1
188,t94,n3,n95,0,1
189,t95,n48,n96,0,1
190,t95,n5,n96,0,1
191,t96,n3,n97,0,1
192,t96,n5,n97,0,1
193,t97,n5,n98,0,1
194,t97,n82,n98,0,1
195,t98,n2,n99,0,1
196,t98,n3,n99,0,1
197,t99,n69,n100,0,1
198,t99,n76,n100,0,1
199,t100,n14,n101,0,1
200,t100,n2,n101,0,1
201,t101,n3,n102,0,1
202,t101,n52,n102,0,1
203,t102,n91,n103,0,1
204,t102,n6,n103,0,1
205,t103,n77,n104,0,1
206,t103,n39,n104,0,1
207,t104,n69,n105,0,1
208,t104,n5,n105,0,1
209,t105,n63,n106,0,1
210,t105,n5,n106,0,1
211,t106,n7,n107,0,1
212,t106,n5,n107,0,1
213,t107,n2,n108,0,1
214,t107,n3,n108,0,1
215,t108,n25,n109,0,1
216,t108,n77,n109,0,1
217,t109,n0,n110,0,1
218,t109,n58,n110,0,1
219,t110,n27,n111,0,1
220,t110,n2,n111,0,1
221,t111,n15,n112,0,1
222,t111,n22,n112,0,1
223,t112,n25,n113,0,1
224,t112,n32,n113,0,1
225,t113,n6,n114,0,1
226,t113,n43,n114,0,1
227,t114,n64,n115,0,1
228,t114,n74,n115,0,1
229,t115,n93,n116,0,1
230,t115,n3,n116,0,1
231,t116,n7,n117,0,1
232,t116,n72,n117,0,1
233,t117,n2,n118,0,1
234,t117,n5,n118,0,1
235,t118,n33,n119,0,1
236,t118,n3,n119,0,1
237,t119,n35,n120,0,1
238,t119,n25,n120,0,1
239,t120,n5,n121,0,1
240,t120,n66,n121,0,1
241,t121,n116,n122,0,1
242,t121,n2,n122,0,1
243,t122,n85,n123,0,1
244,t122,n6,n123,0,1
245,t123,n24,n124,0,1
246,t123,n5,n124,0,1
247,t124,n85,n125,0,1
248,t124,n55,n125,0,1
249,t125,n21,n126,0,1
250,t125,n3,n126,0,1
251,t126,n2,n127,0,1
252,t126,n24,n127,0,1
253,t127,n6,n128,0,1
254,t127,n3,n128,0,1
255,t128,n68,n129,0,1
256,t128,n58,n129,0,1
257,t129,n98,n130,0,1
258,t129,n7,n130,0,1
259,t130,n51,n131,0,1
260,t130,n2,n131,0,1
261,t131,n101,n132,0,1
262,t131,n64,n132,0,1
263,t132,n19,n133,0,1
264,t132,n78,n133,0,1
265,t133,n5,n134,0,1
266,t133,n31,n134,0,1
267,t134,n6,n135,0,1
268,t134,n102,n135,0,1
269,t135,n5,n136,0,1
270,t135,n19,n136,0,1
271,t136,n3,n137,0,1
272,t136,n19,n137,0,1
273,t137,n2,n138,0,1
274,t137,n74,n138,0,1
275,t138,n133,n139,0,1
276,t138,n6,n139,0,1
277,t139,n93,n140,0,1
278,t139,n43,n140,0,1
279,t140,n3,n141,0,1
280,t140,n2,n141,0,1
281,t141,n95,n142,0,1
282,t141,n6,n142,0,1
283,t142,n5,n143,0,1
284,t142,n2,n143,0,1
285,t143,n87,n144,0,1
286,t143,n2,n144,0,1
287,t144,n71,n145,0,1
288,t144,n12,n145,0,1
289,t145,n7,n146,0,1
290,t145,n0,n146,0,1
291,t146,n80,n147,0,1
292,t146,n7,n147,0,1
293,t147,n2,n148,0,1
294,t147,n93,n148,0,1
295,t148,n3,n149,0,1
296,t148,n50,n149,0,1
297,t149,n96,n150,0,1
298,t149,n117,n150,0,1
299,t150,n6,n151,0,1
300,t150,n14,n151,0,1
301,t151,n56,n152,0,1
302,t151,n63,n152,0,1
303,t152,n5,n153,0,1
304,t152,n27,n153,0,1
305,t153,n56,n154,0,1
306,t153,n153,n154,0,1
307,t154,n27,n155,0,1
308,t154,n78,n155,0,1
309,t155,n13,n156,0,1
310,t155,n123,n156,0,1
311,t156,n14,n157,0,1
312,t156,n132,n157,0,1
313,t157,n2,n158,0,1
314,t157,n17,n158,0,1
315,t158,n44,n159,0,1
316,t158,n130,n159,0,1
317,t159,n6,n160,0,1
318,t159,n3,n160,0,1
319,t160,n2,n161,0,1
320,t160,n28,n161,0,1
321,t161,n5,n162,0,1
322,t161,n40,n162,0,1
323,t162,n6,n163,0,1
324,t162,n2,n163,0,1
325,t163,n103,n164,0,1
326,t163,n2,n164,0,1
327,t164,n53,n165,0,1
328,t164,n6,n165,0,1
329,t165,n133,n166,0,1
330,t165,n7,n166,0,1
331,t166,n7,n167,0,1
332,t166,n86,n167,0,1
333,t167,n154,n168,0,1
334,t167,n85,n168,0,1
335,t168,n2,n169,0,1
336,t168,n6,n169,0,1
337,t169,n3,n170,0,1
338,t169,n150,n170,0,1
339,t170,n166,n171,0,1
340,t170,n43,n171,0,1
341,t171,n63,n172,0,1
342,t171,n102,n172,0,1
343,t172,n98,n173,0,1
344,t172,n46,n173,0,1
345,t173,n36,n174,0,1
346,t173,n76,n174,0,1
347,t174,n3,n175,0,1
348,t174,n2,n175,0,1
349,t175,n97,n176,0,1
350,t175,n2,n176,0,1
351,t176,n53,n177,0,1
352,t176,n148,n177,0,1
353,t177,n69,n178,0,1
354,t177,n44,n178,0,1
355,t178,n3,n179,0,1
356,t178,n69,n179,0,1
357,t179,n3,n180,0,1
358,t179,n93,n180,0,1
359,t180,n100,n181,0,1
360,t180,n5,n181,0,1
361,t181,n3,n182,0,1
362,t181,n81,n182,0,1
363,t182,n85,n183,0,1
364,t182,n43,n183,0,1
365,t183,n84,n184,0,1
366,t183,n166,n184,0,1
367,t184,n5,n185,0,1
368,t184,n31,n185,0,1
369,t185,n2,n186,0,1
370,t185,n6,n186,0,1
