,0
0,17168222.822736558
1,14698754.98545839
2,3913277.581774238
3,622631.8356951501
4,26014931.957727507
5,68102571.90941525
6,1666060.8560378395
7,2321055.8408891833
8,39191606.86031692
9,1790109565.935306
10,3906182798.0666027
11,84666268.39911461
12,11482998.646678906
13,1568903.0039073222
14,20521227.48081939
15,1666060.8560378395
16,527951.9265606469
17,1545302.3396588257
18,2847565867.9450617
19,2261751.1815930596
20,3128226.5138879693
21,17821070.967407726
22,1105949.2670436855
23,2355849.0135453423
24,493934.1125161263
25,99497135.0677051
26,305545.2785353587
27,714809.4594562692
28,186440.0206434474
29,747210.745271559
