repo_id,repo_id,repo_name,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,months_not_zero
100075549,100075549,Azure/autorest.aio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,1.0
100118847,100118847,Azure/azure-docs-json-samples,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,4553.0,2.0
100314903,100314903,Azure/autorest.common,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11332.0,16000.0,18138.0,21022.0,22217.0,22877.0,24647.0,26483.0,27646.0,28353.0,28836.0,28836.0,28836.0,30183.0,30183.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31341.0,31751.0,31751.0,31751.0,31751.0,31751.0,31751.0,31751.0,31751.0,31751.0,31751.0,31751.0,31751.0,31751.0,31751.0,31751.0,14.0
100315083,100315083,Azure/autorest.modeler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3738.0,11025.0,13689.0,18556.0,20403.0,21311.0,23048.0,23733.0,25618.0,25618.0,25913.0,25913.0,25913.0,25913.0,25913.0,26048.0,26048.0,26048.0,26048.0,26048.0,26048.0,26048.0,26048.0,26048.0,26048.0,26048.0,26048.0,26428.0,26428.0,26428.0,26428.0,26428.0,26428.0,26428.0,26428.0,26428.0,26428.0,26428.0,26428.0,26600.0,26600.0,26600.0,26600.0,26600.0,26600.0,26600.0,26600.0,26600.0,26600.0,26600.0,26600.0,26600.0,26600.0,13.0
100315457,100315457,Azure/autorest.azureresourceschema,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3360.0,7274.0,8561.0,10782.0,12037.0,13443.0,13919.0,15510.0,16853.0,16853.0,17303.0,17303.0,17303.0,17533.0,17533.0,17533.0,17533.0,17533.0,17533.0,17533.0,17533.0,17533.0,17533.0,17533.0,17533.0,18407.0,18407.0,18407.0,18485.0,18485.0,18645.0,18645.0,18645.0,18645.0,18645.0,18645.0,18645.0,18645.0,18645.0,18645.0,18645.0,18645.0,18645.0,18645.0,20225.0,20225.0,20225.0,20225.0,20225.0,20225.0,20225.0,20225.0,20225.0,15.0
100315623,100315623,Azure/autorest.csharp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5233.0,12189.0,17017.0,23778.0,25853.0,27801.0,30441.0,33094.0,34917.0,35644.0,36054.0,36054.0,36054.0,36577.0,36577.0,36810.0,36810.0,36810.0,36916.0,36916.0,37008.0,37008.0,37008.0,37008.0,37008.0,37008.0,37008.0,37008.0,38808.0,41033.0,43415.0,46153.0,50402.0,51303.0,54432.0,57122.0,60578.0,67289.0,76537.0,81676.0,84627.0,89727.0,93422.0,104422.0,112736.0,122409.0,134823.0,141883.0,147095.0,154448.0,155126.0,155947.0,160791.0,40.0
100315670,100315670,Azure/autorest.go,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,12091.0,13854.0,17771.0,19478.0,21076.0,22280.0,23946.0,25533.0,25560.0,25890.0,25890.0,25890.0,25890.0,25890.0,25936.0,25936.0,25936.0,25936.0,25936.0,25936.0,25936.0,25936.0,25936.0,25936.0,25982.0,25982.0,25982.0,26067.0,26067.0,26213.0,28867.0,28867.0,28867.0,34171.0,36569.0,39105.0,39105.0,43320.0,45135.0,45135.0,46590.0,51687.0,51687.0,51687.0,54238.0,54750.0,54972.0,54972.0,57440.0,57440.0,58863.0,58863.0,28.0
100315700,100315700,Azure/autorest.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5441.0,11714.0,13294.0,16501.0,17688.0,18992.0,21016.0,23507.0,26787.0,26787.0,27807.0,29359.0,30964.0,30964.0,31006.0,31088.0,31348.0,31348.0,31348.0,31348.0,31348.0,33128.0,33237.0,33957.0,33957.0,33997.0,33997.0,34665.0,34665.0,34888.0,34888.0,40782.0,44139.0,44139.0,46929.0,47856.0,50392.0,50392.0,56970.0,65368.0,71638.0,78038.0,87091.0,98125.0,105530.0,107680.0,118098.0,122693.0,127103.0,129462.0,129462.0,129462.0,135552.0,39.0
100315853,100315853,Azure/autorest.nodejs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4753.0,10394.0,11709.0,15981.0,16772.0,17379.0,17837.0,19537.0,21838.0,21838.0,22935.0,23109.0,23591.0,26591.0,26591.0,29546.0,29546.0,30944.0,30944.0,30944.0,30944.0,30944.0,30944.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,31662.0,16.0
100315873,100315873,Azure/autorest.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3208.0,6843.0,8195.0,8860.0,8860.0,9433.0,9909.0,10464.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,11717.0,8.0
100315912,100315912,Azure/autorest.ruby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3976.0,9535.0,10920.0,13995.0,14750.0,15442.0,16134.0,16793.0,18968.0,18968.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,19141.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,20195.0,11.0
100315955,100315955,Azure/autorest.python,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3498.0,7686.0,11434.0,16261.0,19668.0,23098.0,28299.0,33350.0,36717.0,36738.0,38186.0,40372.0,41007.0,41007.0,42573.0,43560.0,44249.0,45013.0,46137.0,47800.0,48352.0,51862.0,53765.0,57214.0,57214.0,57463.0,57463.0,58472.0,64171.0,64171.0,65065.0,71853.0,74242.0,81386.0,83838.0,87994.0,87994.0,90973.0,95407.0,97171.0,97590.0,103674.0,109221.0,109221.0,111671.0,111671.0,114858.0,116667.0,118426.0,120233.0,120233.0,123711.0,129947.0,45.0
100316137,100316137,Azure/autorest.testserver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6483.0,8160.0,13503.0,14930.0,17337.0,18937.0,21390.0,25417.0,25804.0,27619.0,30473.0,31733.0,32162.0,32162.0,32162.0,32162.0,32162.0,32162.0,32162.0,33385.0,33385.0,33385.0,34972.0,34972.0,34972.0,34972.0,34972.0,38185.0,38185.0,38331.0,40740.0,40740.0,42849.0,44673.0,46178.0,46178.0,47065.0,47565.0,47565.0,47809.0,49453.0,54939.0,54939.0,54939.0,54939.0,54939.0,56574.0,56574.0,62721.0,62721.0,63086.0,63203.0,30.0
100736092,100736092,Azure/AzurePublicDataset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,1.0
